Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FOREIGN EXCHANGE,,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FOREIGN EXCHANGE,,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FIRST兌換店,FIRST兌換店,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FIRST兌換店,FIRST兌換店,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FIRST兑換店,FIRST兑換店,,Specified Premises,指明處所,29/11/2023
FIRST SYSTEM (CHINA) TRADING LIMITED,中匯誠貿易有限公司,,中匯誠人民幣找換公司,,Specified Premises,指明處所,29/11/2023
FLEXT LIMITED,,,,,Specified Premises,指明處所,29/11/2023
FLOCH ALAIN JEAN TRADING AS TOKO INDO KAS,,,,,Specified Premises,指明處所,29/11/2023
"FOCUS GLOBAL SOURCING SERVICES CO., LIMITED",焦點環球採購服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
FOK SHING EXCHANGE LIMITED,福星找換有限公司,,,,Specified Premises,指明處所,29/11/2023
FOK SHING EXCHANGE LIMITED,福星找換有限公司,,,,Specified Premises,指明處所,29/11/2023
FOND LIMITED TRADING AS FOND EXCHANGE,福安環球有限公司 營業名稱 福安找換,FOND EXCHANGE,福安找換,,Specified Premises,指明處所,29/11/2023
FOND LIMITED TRADING AS FOND EXCHANGE,福安環球有限公司 營業名稱 福安找換,SANG SANG EXCHANGE 1993,沙中生生找換1993,,Specified Premises,指明處所,29/11/2023
FOND LIMITED TRADING AS FOND EXCHANGE,福安環球有限公司 營業名稱 福安找換,SANG SANG EXCHANGE (SHEK MUN) 1993,沙中生生找換(石門)1993,,Specified Premises,指明處所,29/11/2023
FONG PUI CHUNG TRADING AS HING WAH COINS,方培聰 營業名稱 興華錢幣,HING WAH RENMINBI EXCHANGE CO,興華人民幣找換公司,,Specified Premises,指明處所,29/11/2023
3 SING INTERNATIONAL LIMITED,三昇聯匯有限公司,3 SING CURRENCY EXCHANGE,三昇聯匯,,Specified Premises,指明處所,29/11/2023
3 SING INTERNATIONAL LIMITED,三昇聯匯有限公司,3 SING CURRENCY EXCHANGE,三昇聯匯,,Specified Premises,指明處所,29/11/2023
3 SING INTERNATIONAL LIMITED,三昇聯匯有限公司,3 SING CURRENCY EXCHANGE,三昇聯匯,,Specified Premises,指明處所,29/11/2023
5D LEADING TECH LIMITED,無敵先進科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
633 LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
9 LIONS GATE LIMITED TRADING AS LIONS GATE,,LIONS GATE,,,Specified Premises,指明處所,29/11/2023
AB POINT LIMITED,匯點通有限公司,,,,Specified Premises,指明處所,29/11/2023
AB POINT LIMITED,匯點通有限公司,AB POINT LIMITED,匯點通有限公司,,Specified Premises,指明處所,29/11/2023
ABLE LEADERS LIMITED TRADING AS DOR FORTUNE,聯駿匯有限公司 營業名稱 多福,DOR FORTUNE,多福,,Specified Premises,指明處所,29/11/2023
ABLE LEADERS LIMITED TRADING AS DOR FORTUNE,聯駿匯有限公司 營業名稱 多福,DOR FORTUNE,多福,,Specified Premises,指明處所,29/11/2023
ABLE LEADERS LIMITED TRADING AS DOR FORTUNE,聯駿匯有限公司 營業名稱 多福,DOR FORTUNE,多福,,Specified Premises,指明處所,29/11/2023
"ABUSALIH, ABDUL RASHEED TRADING AS REAL FOREX & REMITTANCES",,,,,Specified Premises,指明處所,29/11/2023
ACU MONEY CHANGER LIMITED,,,,,Specified Premises,指明處所,29/11/2023
ADYEN HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
AERAPAY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
AILE TECHNOLOGY LIMITED,愛樂科技有限公司,,,,Specified Premises,指明處所,29/11/2023
AILINGUAL LIMITED,艾靈谷有限公司,,,,Correspondence Address,通訊地址,29/11/2023
AIRWALLEX (HONG KONG) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ALIPAY HONG KONG LIMITED TRADING AS ALIPAY,支付寶香港有限公司 營業名稱 支付寶,,,,Correspondence Address,通訊地址,29/11/2023
ALLGOOD FX (INTERNATIONAL) LIMITED,大家好(國際)外滙有限公司,,,,Specified Premises,指明處所,29/11/2023
ALLIANCE FOREX LIMITED,安心匯有限公司 營業名稱 安心匯兌換匯款,,安心匯兌換匯款,,Specified Premises,指明處所,29/11/2023
ALLINPAY FINANCIAL SERVICES LIMITED,通華金融服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ALLPAY INTERNATIONAL LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ALOFT TECHNOLOGY COMPANY LIMITED,邏庫科技有限公司,,,,Specified Premises,指明處所,29/11/2023
ALPCORP LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ALPHA OMEGA EMPLOYMENT LIMITED TRADING AS ALPHA OMEGA,愛庭僱傭有限公司,ALPHA OMEGA,,,Specified Premises,指明處所,29/11/2023
ALPHA OMEGA EMPLOYMENT LIMITED TRADING AS ALPHA OMEGA,愛庭僱傭有限公司,ALPHA OMEGA,,,Specified Premises,指明處所,29/11/2023
ALSOTRANS FINANCIAL TECHNOLOGY LIMITED,鼎集金融科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ANGRA HK LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ANSARI IDREES AHMED TRADING AS HKBEST EXCHANGE CO.,顏米高,,,,Specified Premises,指明處所,29/11/2023
APG WORLDWIDE LIMITED TRADING AS APG,智匯通香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APIKKO HK LIMITED TRADING AS CHANDRA,,CHANDRA,,,Specified Premises,指明處所,29/11/2023
APPLE SOUTH-EAST ASIA LIMITED TRADING AS APPLE SOUTH-EAST ASIA MARKET,紅蘋果東南亞有限公司 營業名稱 紅蘋果東南亞食品,APPLE SOUTH-EAST ASIA MARKET,紅蘋果東南亞食品,,Specified Premises,指明處所,29/11/2023
ASIA TRANSPAY (HK) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ASIA UNION FINANCIAL (HK) LIMITED,亞聯金融(香港)有限公司,ASIA UNION FINANCIAL (HK) LIMITED,亞聯金融(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ASIABILL COMPANY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ASPAC REMITTANCE LIMITED,,TRANSFER POINT,滙點,,Specified Premises,指明處所,29/11/2023
AT SERVICES LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ATLANTIC PARTNERS ASIA PS LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
AZIMO HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
BANCKA LIMITED,百家有限公司,,,,Specified Premises,指明處所,29/11/2023
BAO SHUN HUI TRADING COMPANY LIMITED,寶順匯貿易有限公司,寶順匯,BAO SHUN HUI,,Specified Premises,指明處所,29/11/2023
BCA FINANCE LIMITED,中亞財務有限公司,,,,Specified Premises,指明處所,29/11/2023
BCA FINANCE LIMITED,中亞財務有限公司,BCA FINANCE LIMITED,中亞財務有限公司,,Specified Premises,指明處所,29/11/2023
BCA FINANCE LIMITED,中亞財務有限公司,BCA FINANCE LIMITED,中亞財務有限公司,,Specified Premises,指明處所,29/11/2023
BDO REMIT LIMITED TRADING AS BDO REMIT,,BDO REMIT,,,Specified Premises,指明處所,29/11/2023
BEEPAY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
BERKERLIN TECHNOLOGY COMPANY LIMITED,貝克林科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
BEST HONEST CURRENCY EXCHANGE LIMITED,益誠找換店有限公司,,,,Specified Premises,指明處所,29/11/2023
BEST SUCCESS CORPORATION LIMITED,利成興業有限公司,METRO FOREIGN EXCHANGE,,,Specified Premises,指明處所,29/11/2023
BEST SUCCESS CORPORATION LIMITED,利成興業有限公司,METRO FOREIGN EXCHANGE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,BEST REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BEST SUN TRADING LIMITED,佳逸貿易有限公司,SENYUM,,,Specified Premises,指明處所,29/11/2023
BINDO LABS LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
BNI REMITTANCE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
BNI REMITTANCE LIMITED,,BNI REMITTANCE LIMITED,,,Specified Premises,指明處所,29/11/2023
BNI REMITTANCE LIMITED,,BNI REMITTANCE LIMITED,,,Specified Premises,指明處所,29/11/2023
BO WUI TECHNOLOGY LIMITED TRADING AS BAO YING MONEY EXCHANGE,寶匯科技有限公司 營業名稱 寶盈找換,BAO YING MONEY EXCHANGE,寶盈找換,,Specified Premises,指明處所,29/11/2023
BO WUI TECHNOLOGY LIMITED TRADING AS BAO YING MONEY EXCHANGE,寶匯科技有限公司 營業名稱 寶盈找換,BAO YING MONEY EXCHANGE,寶盈找換,,Specified Premises,指明處所,29/11/2023
BOKU NETWORK SERVICES HK LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
BPI REMITTANCE CENTRE (HK) LTD,,BPI REMITTANCE CENTER,,,Specified Premises,指明處所,29/11/2023
BPI REMITTANCE CENTRE (HK) LTD,,BPI REMITTANCE CENTER,,,Specified Premises,指明處所,29/11/2023
BRDGEPAY (H.K) PRIVATE LIMITED,合眾私人有限公司,,,,Correspondence Address,通訊地址,29/11/2023
BRI REMITTANCE COMPANY LIMITED TRADING AS BRI REMITTANCE,,BRI REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BRI REMITTANCE COMPANY LIMITED TRADING AS BRI REMITTANCE,,BRI REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BRI REMITTANCE COMPANY LIMITED TRADING AS BRI REMITTANCE,,BRI REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BRI REMITTANCE COMPANY LIMITED TRADING AS BRI REMITTANCE,,BRI REMITTANCE,,,Specified Premises,指明處所,29/11/2023
BRIDGEHARBOUR (HK) MANAGEMENT SERVICE COMPANY LIMITED,樂力(香港)管理服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"BROTHERS FOREIGN CURRENCY EXCHANGE CO., LIMITED TRADING AS BROTHERS FOREIGN CURRENCY EXCHANGE",兄弟外幣兌換有限公司 營業名稱 兄弟外幣兌換,BROTHERS FOREIGN CURRENCY EXCHANGE,兄弟外幣兌換,,Specified Premises,指明處所,29/11/2023
BT CAPITAL LIMITED TRADING AS BT EXCHANGE,寶通資本有限公司 營業名稱 寶通找換,BT EXCHANGE,寶通找換,,Specified Premises,指明處所,29/11/2023
BTR EXCHANGE LIMITED TRADING AS BTR EXCHANGE,佰通找換,BTR EXCHANGE,佰通找換,,Specified Premises,指明處所,29/11/2023
"CADANO, ARIEL DOROTEO TRADING AS EMK TRADING COMPANY",,,,,Specified Premises,指明處所,29/11/2023
CALSONS REMITTANCE,,,,,Specified Premises,指明處所,29/11/2023
CAMEL SUPPLY CHAIN MANAGEMENT (ASIA) LIMITED,駱駝供應鏈管理亞洲有限公司,,,,Correspondence Address,通訊地址,29/11/2023
CAPITAL EXCHANGE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
CAPITAL EXCHANGE LIMITED,,CAPITAL EXCHANGE LIMITED,,,Specified Premises,指明處所,29/11/2023
CASHMALLOW HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
CBI UNION LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
"CHAN CRISTINA TRADING AS HONG KONG DECHENG CO,",陳宣頤 營業名稱 香港德盛公司,,,,Specified Premises,指明處所,29/11/2023
"CHAN CRISTINA TRADING AS HONG KONG DECHENG CO,",陳宣頤 營業名稱 香港德盛公司,"HONG KONG DECHENG CO,",香港德盛公司,,Specified Premises,指明處所,29/11/2023
"CHAN CRISTINA TRADING AS HONG KONG DECHENG CO,",陳宣頤 營業名稱 香港德盛公司,"HONG KONG DECHENG CO,",香港德盛公司,,Specified Premises,指明處所,29/11/2023
CHAN HEUNG LAM TRADING AS WAI HONG EXCHANGE,陳香琳 營業名稱 瑋航找換,,,,Specified Premises,指明處所,29/11/2023
CHAN KWAI MAN TRADING AS ELITE CURRENCY EXCHANGE,陳桂文 營業名稱 億利找換店,,,,Specified Premises,指明處所,29/11/2023
CHAN KWAI MAN TRADING AS ELITE CURRENCY EXCHANGE,陳桂文 營業名稱 億利找換店,ELITE CURRENCY EXCHANGE,億利找換店,,Specified Premises,指明處所,29/11/2023
CHAN KWAI MAN TRADING AS ELITE CURRENCY EXCHANGE,陳桂文 營業名稱 億利找換店,ELITE CURRENCY EXCHANGE,億利找換店,,Specified Premises,指明處所,29/11/2023
CHAN KWUN KAU KAUMAN TRADING AS FU YU INVESTMENT MANAGEMENT CO,陳冠球 營業名稱 富譽投資管理公司,,,,Specified Premises,指明處所,29/11/2023
CHAN PIK YU TRADING AS MOST LUCKY COMPANY,陳碧如 營業名稱 展祥公司,,,,Specified Premises,指明處所,29/11/2023
CHAN SIN CHEUNG TRADING AS ON SANG TRADING COMPANY,陳善璋 營業名稱 安生貿易公司,,,,Specified Premises,指明處所,29/11/2023
CHAN SUET CHING TRADING AS TOKO GEMBIRA INDONESIA,陳雪清 營業名稱 金利拿印尼商店,,,,Specified Premises,指明處所,29/11/2023
CHAN WAI PING TRADING AS NEW KAM YUEN RENMINBI EXCHANGE,陳惠萍 營業名稱 新金源人民幣找換店,,,,Specified Premises,指明處所,29/11/2023
CHAU YUEN YUEN,周圓園 營業名稱 億富人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
CHAU YUEN YUEN,周圓園 營業名稱 億富人民幣找換行,新中華人民幣找換行,,,Specified Premises,指明處所,29/11/2023
CHECKOUT LIMITED TRADING AS CHECKOUT.COM,,,,,Correspondence Address,通訊地址,29/11/2023
CHEN CHUNHONG,陳春虹 營業名稱 滙通人民幣找換公司,,,,Specified Premises,指明處所,29/11/2023
CHEN HONGMEI,陳紅美 營業名稱 联丰兌換店,,,,Specified Premises,指明處所,29/11/2023
CHEN PUBA TRADING AS KWOK HING RENMINBE EXCHANGE SHOP,陳普八 營業名稱 國興人民幣找換行,KWOK HING RENMINBE EXCHANGE SHOP,國興人民幣找換店,,Specified Premises,指明處所,29/11/2023
CHEN PUBA TRADING AS KWOK HING RENMINBE EXCHANGE SHOP,陳普八 營業名稱 國興人民幣找換行,KWOK HING EXCHANGE AND REMITTANCE CO,國興找換匯款公司,,Specified Premises,指明處所,29/11/2023
CHENG CHAK LAM TRADING AS KINYING RENMINBI EXCHANGE CO.,鄭澤林 營業名稱 金英人民幣找換行,KINYING RENMINBI EXCHANGE CO.,金英人民幣找換行,,Specified Premises,指明處所,29/11/2023
CHENG CHAK LAM TRADING AS KINYING RENMINBI EXCHANGE CO.,鄭澤林 營業名稱 金英人民幣找換行,KINYING RENMINBI EXCHANGE CO.,金英人民幣找換行,,Specified Premises,指明處所,29/11/2023
CHENG CHAK LAM TRADING AS KINYING RENMINBI EXCHANGE CO.,鄭澤林 營業名稱 金英人民幣找換行,KINYING RENMINBI EXCHANGE CO.,金英人民幣找換行,,Specified Premises,指明處所,29/11/2023
CHENG CHAK LAM TRADING AS KINYING RENMINBI EXCHANGE CO.,鄭澤林 營業名稱 金英人民幣找換行,KINYING RENMINBI EXCHANGE CO.,金英人民幣找換行,,Specified Premises,指明處所,29/11/2023
CHENG LIZHEN TRADING AS ZHONG GANG CHENG MONEY EXCHANGE CO,成麗貞 營業名稱 中港成人民幣找換公司,,,,Specified Premises,指明處所,29/11/2023
CHEUNG HIN SING TRADING AS SMART EXCHANGE,張顯星 營業名稱 星滙找換,,,,Specified Premises,指明處所,29/11/2023
CHEUNG HING MONEY EXCHANGE COMPANY LIMITED,長興匯款找換有限公司 營業名稱 長興匯款找換,,長興匯款找換,,Specified Premises,指明處所,29/11/2023
CHEUNG MAN FU TRADING AS WUI HING LONG CO,張文富 營業名稱 滙興隆公司,,,,Specified Premises,指明處所,29/11/2023
CHEUNG SIN YAN,張倩欣 營業名稱 華南找換店,,,,Specified Premises,指明處所,29/11/2023
CHEUNG TIM HO,張添豪 營業名稱 東源東南亞市場,,,,Specified Premises,指明處所,29/11/2023
CHEUNG TUNG YUNG TRADING AS KIM YUET MONEY EXCHANGE,張冬蓉 營業名稱 金悅找換店,KIM YUET MONEY EXCHANGE,金悅找換店,,Specified Premises,指明處所,29/11/2023
"CHINAPAY E-PAYMENT SERVICE (HONGKONG) CO., LIMITED",銀聯電子支付服務(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
CHOI HING CHUNG TRADING AS WING FUNG MONEY EXCHANGE COMPANY,蔡慶忠 營業名稱 永丰找換公司,,,,Specified Premises,指明處所,29/11/2023
CHONG MAN CHI TRADING AS TAK SHING CURRENCY EXCHANGE,莊萬芝 營業名稱 德成找換店,,,,Specified Premises,指明處所,29/11/2023
CHONG YIM,庄艷 營業名稱 航天人民幣找換匯款,,,,Specified Premises,指明處所,29/11/2023
CHOW CHI WAH TRADING AS NGAN FUNG MONEY EXCHANGE COMPANY,周志華 營業名稱 銀豐找換公司,,,,Specified Premises,指明處所,29/11/2023
CHOW CHI WAH TRADING AS NGAN FUNG MONEY EXCHANGE COMPANY,周志華 營業名稱 銀豐找換公司,NGAN FUNG MONEY EXCHANGE COMPANY,銀豐找換公司,,Specified Premises,指明處所,29/11/2023
CHOW CHI WAH TRADING AS NGAN FUNG MONEY EXCHANGE COMPANY,周志華 營業名稱 銀豐找換公司,NGAN FUNG MONEY EXCHANGE COMPANY,銀豐找換公司,,Specified Premises,指明處所,29/11/2023
CHOW SIU LING LOUISA TRADING AS HUIXIN EXCHANGE COMPANY,周少玲 營業名稱 匯信中港找換行,,,,Specified Premises,指明處所,29/11/2023
CHU WAI KIT TRADING AS TOKO MAWAR,朱偉傑 營業名稱 發成糧油雜貨,,,,Specified Premises,指明處所,29/11/2023
CHU YONGWEI TRADING AS WINTONE EXCHANGE COMPANY,褚永煒 營業名稱 永通找換公司,,,,Specified Premises,指明處所,29/11/2023
CHU YONGWEI TRADING AS WINTONE EXCHANGE COMPANY,褚永煒 營業名稱 永通找換公司,WINTONE EXCHANGE COMPANY,永通找換公司,,Specified Premises,指明處所,29/11/2023
CHU YONGWEI TRADING AS WINTONE EXCHANGE COMPANY,褚永煒 營業名稱 永通找換公司,WINTONE EXCHANGE COMPANY,永通找換公司,,Specified Premises,指明處所,29/11/2023
CHUCKING INVESTMENTS LIMITED,超記匯財有限公司,,,,Specified Premises,指明處所,29/11/2023
CHUN ONE TRADING LIMITED TRADING AS DOR FORTUNE,俊一貿易有限公司 營業名稱 多福,DOR FORTUNE,多福,,Specified Premises,指明處所,29/11/2023
CHUN ONE TRADING LIMITED TRADING AS DOR FORTUNE,俊一貿易有限公司 營業名稱 多福,DOR FORTUNE EXCHANGE,多福兌換,,Specified Premises,指明處所,29/11/2023
CHUNG FAT REMINBI EXCHANGE CO.,中發人民幣找換店,,,,Specified Premises,指明處所,29/11/2023
CHUNG FAT REMINBI EXCHANGE CO.,中發人民幣找換店,CHUNG FAT REMINBI EXCHANGE CO.,中發人民幣找換店,,Specified Premises,指明處所,29/11/2023
CHUNG HAI EXCHANGE LIMITED,中海找換有限公司,,,,Specified Premises,指明處所,29/11/2023
CHUNG HAI EXCHANGE LIMITED,中海找換有限公司,CHUNG HAI EXCHANGE LIMITED,中海找換有限公司,,Specified Premises,指明處所,29/11/2023
CHUNG HAI EXCHANGE LIMITED,中海找換有限公司,CHUNG HAI EXCHANGE LIMITED,中海找換有限公司,,Specified Premises,指明處所,29/11/2023
CHUNG KONG REMINBI & FOREIGN MONEY EXCHANGE CO. LIMITED,中港人民幣外幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
CHUNG KONG REMINBI & FOREIGN MONEY EXCHANGE CO. LIMITED,中港人民幣外幣找換有限公司,匯寶找換行,WUI PO MONEY EXCHANGE CO,,Specified Premises,指明處所,29/11/2023
CHUNG SHUN EXCHANGE COMPANY LIMITED,中信找換有限公司,,,,Specified Premises,指明處所,29/11/2023
CHUNG SHUN EXCHANGE COMPANY LIMITED,中信找換有限公司,CHUNG SHUN EXCHANGE COMPANY LIMITED,中信找換有限公司,,Specified Premises,指明處所,29/11/2023
CHUNG SHUN EXCHANGE COMPANY LIMITED,中信找換有限公司,CHUNG SHUN EXCHANGE COMPANY LIMITED,中信找換有限公司,,Specified Premises,指明處所,29/11/2023
CHUNG SHUN EXCHANGE COMPANY LIMITED,中信找換有限公司,CHUNG SHUN EXCHANGE COMPANY LIMITED中,信找換有限公司,,Specified Premises,指明處所,29/11/2023
CITI EXPRESS PAYMENT (HK) LIMITED,,CITI EXPRESS PAYMENT (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
CITI EXPRESS PAYMENT (HK) LIMITED,,CITI EXPRESS PAYMENT (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
CITI EXPRESS PAYMENT (HK) LIMITED,,,,,Specified Premises,指明處所,29/11/2023
CITY FOREIGN EXCHANGE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
CITY FOREIGN EXCHANGE LIMITED,,CITY FOREIGN EXCHANGE LIMITED,,,Specified Premises,指明處所,29/11/2023
CITY FOREIGN EXCHANGE LIMITED,,CITY FOREIGN EXCHANGE LIMITED,,,Specified Premises,指明處所,29/11/2023
CITY FOREIGN EXCHANGE LIMITED,,CITY FOREIGN EXCHANGE LIMITED,,,Specified Premises,指明處所,29/11/2023
CITY FOREIGN EXCHANGE LIMITED,,CITY FOREIGN EXCHANGE LIMITED,,,Specified Premises,指明處所,29/11/2023
CLOUDIX GLOBAL LIMITED,行雲匯環球有限公司,,,,Correspondence Address,通訊地址,29/11/2023
CNHK RICH LIMITED,中港合盛有限公司 營業名稱 囍滙找換,HEY EXCHANGE,囍滙找換,,Specified Premises,指明處所,29/11/2023
CNPAY GLOBAL COMPANY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
COM FUNG MONEY EXCHANGE COMPANY LIMITED TRADING AS MONEY EXCHANGE,金豐人民幣找換有限公司 營業名稱 金寶,MONEY EXCHANGE,金寶,,Specified Premises,指明處所,29/11/2023
COM FUNG MONEY EXCHANGE COMPANY LIMITED TRADING AS MONEY EXCHANGE,金豐人民幣找換有限公司 營業名稱 金寶,COM PO REMINBI EXCHANGE,金寶人民幣找換店,,Specified Premises,指明處所,29/11/2023
COM PO MONEY EXCHANGE COMPANY LIMITED,金寶找換有限公司,,,,Specified Premises,指明處所,29/11/2023
CONTINUUM BI HK LIMITED,,,,,Specified Premises,指明處所,29/11/2023
CONVERA HONG KONG LIMITED TRADING AS CONVERA,,WUBS,,,Specified Premises,指明處所,29/11/2023
CORPORATE ALLIANCE PAYMENTS (HK) LIMITED TRADING AS CAPAY HK,,,,,Correspondence Address,通訊地址,29/11/2023
CRAZY BIRD (HK) LIMITED,飛鳥外幣找換店有限公司,,,,Specified Premises,指明處所,29/11/2023
CREDORAX HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
CROSSTON FOR INTERNATIONAL LIMITED,跨世通網路科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
CURFEX (HK) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
CURRENCYFAIR LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
CURRENXIE LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
